id,type,info_name,info_image,info_ghi chú,info_đạo diễn,info_sản xuất,info_biên kịch,info_cốt truyện,info_diễn viên,info_âm nhạc,info_quay phim,info_dựng phim,info_hãng sản xuất,info_phát hành,info_công chiếu,info_thời lượng,info_ngôn ngữ,info_budget,info_doanh thu,info_1,info_2,info_3,info_4,info_5,info_6,info_7,info_8,info_9,info_10,info_11,info_12,info_13,info_14,info_15,info_16,infobox_tên,infobox_ghi chú,infobox_director,infobox_sản xuất,infobox_biên kịch,infobox_cốt truyện,infobox_cast,infobox_âm nhạc,infobox_quay phim,infobox_dựng phim,infobox_hãng sản xuất,infobox_phát hành,infobox_công chiếu,infobox_duration,infobox_language,infobox_budget,infobox_box_office,infobox_1,infobox_2,infobox_3,infobox_4,infobox_5,infobox_6,infobox_7,infobox_8,infobox_9,infobox_10,infobox_11,infobox_12,infobox_13,infobox_14,infobox_15,infobox_16,infobox_genre,info_tác giả,info_kịch bản,info_studio,info_quốc gia,info_kinh phí,info_website,info_imdb_id,infobox_tác giả,infobox_kịch bản,infobox_studio,infobox_country,infobox_website,infobox_imdb_id,info_caption,info_director,info_producer,info_writer,info_starring,info_music,info_cinematography,info_editing,info_distributor,info_released,info_runtime,info_country,info_language,info_gross,infobox_name,infobox_image,infobox_caption,infobox_producer,infobox_writer,infobox_starring,infobox_music,infobox_cinematography,infobox_editing,infobox_distributor,infobox_released,infobox_runtime,infobox_gross,infobox_định dạng,infobox_đơn vị sản xuất,infobox_network,infobox_first_aired,infobox_số tập,infobox_kích thước hình,infobox_kênh,infobox_phát sóng đầu,infobox_phát sóng cuối,infobox_show_name,infobox_format,infobox_based_on,infobox_num_episodes,infobox_company,infobox_channel,infobox_first_run,infobox_last_aired,infobox_image_size,infobox_narrator,infobox_screenplay,infobox_story,infobox_dẫn phim,infobox_dựa trên,infobox_17,infobox_18,infobox_19,infobox_20,infobox_show_name_2,infobox_creator,infobox_developer,infobox_num_seasons,infobox_executive_producer,infobox_editor,infobox_location,infobox_bgcolor,infobox_creative_director,infobox_theme_music_composer,infobox_opentheme,infobox_endtheme,infobox_preceded_by,infobox_followed_by,infobox_cỡ hình,infobox_người dẫn chuyện,infobox_img_size,infobox_df,infobox_Thiết kế mỹ thuật,infobox_id,infobox_title,infobox_camera,infobox_picture_format,infobox_based on,infobox_chú thích,infobox_italic title,infobox_Âm nhạc,infobox_phần trước,infobox_phần sau,infobox_nhạc kết,infobox_Nhan đề nghiêng,infobox_giám đốc sản xuất,infobox_công ty sản xuất,infobox_chú thích hình,infobox_imagesize,infobox_first_aired_vn,infobox_channel_vn,infobox_tên khác,infobox_composer,infobox_biên tập,infobox_độ dài,infobox_alt_name,infobox_open_theme,infobox_bgcolour,infobox_related,infobox_director of Photography,infobox_part,infobox_chỉ đạo nghệ thuật,infobox_creat‌ive_director,infobox_định_dạng_hình_ảnh,infobox_số phần,infobox_địa điểm,infobox_giám chế,infobox_nhạc dạo,infobox_last_aired_vn,infobox_phát sóng,infobox_nhạc sĩ,infobox_presenter,infobox_judges,infobox_picture,infobox_audio_format,infobox_italic_title,infobox_lồng tiếng,infobox_chương trình liên quan,infobox_imdb_rating,infobox_awards,infobox_Số tập,infobox_kỹ thuật quay,infobox_amg_id,infobox_state,infobox_image_alt,infobox_narrated,infobox_slogan,infobox_EpisodeNumber,infobox_Title,infobox_OriginalAirDate,infobox_ShortSummary,infobox_DOP,infobox_image size,infobox_num_series,infobox_co_exec,infobox_supervising_producer,infobox_wardrobe,infobox_stylist,infobox_border,infobox_định dạng âm thanh,infobox_end_theme,infobox_phát triển,infobox_inspired_by,infobox_production_website,infobox_color,infobox_D.O.P,infobox_Đạo diễn Hình Ảnh,infobox_phụ hòa âm,infobox_kênh vn,infobox_story_editor,infobox_số mùa,infobox_Website,infobox_list_episodes,infobox_voices,infobox_đạo diễn hình ảnh,infobox_alt,infobox_dẫn chương trình,infobox_hn,infobox_production_companies,infobox_1st AD,infobox_makeup,infobox_họa sĩ thiết kế
Nhà bà Nữ,film,Nhà bà Nữ,Áp phích phim Nhà bà Nữ.jpg,Áp phích chiếu rạp của phim,Trấn Thành,* Trấn Thành * Đỗ Hoàng Vũ,Nguyễn Ngọc Huyền Trân,* Trấn Thành * Tạ Anh Đức * Lương Nghiêm Huy,* Lê Giang * Uyển Ân * Song Luân * Trấn Thành * Khả Như * Quỳnh Lý * Phương Lan * Dương Lâm * Ngọc Giàu * Việt Anh,* Ngô Minh Hoàng * Nguyễn Hoàng Anh,Trần Minh Huy,* Vũ Khắc Tuận * Phạm Hoàng Nhân,* CJ HK Entertainment * KIM Entertainment * Trấn Thành Town,CJ CGV,"2023, 1, 22, Việt Nam, 2023, 3, 3, Hoa Kỳ, 2023, 3, 9, Úc, Singapore, 2023, 3, 10, Canada",103 phút,Tiếng Việt,"30–35 tỷ VND (1,2–1,4 triệu USD)","475 tỷ VND (19,6 triệu USD)Theo Box Office Việt Nam, ''Nhà bà Nữ'' thu về 458 tỷ đồng. Theo ê-kíp sản xuất thì bộ phim có doanh thu là 475 tỷ đồng. (Việt Nam), 24 tỷ VND (1 triệu USD) (Hoa Kỳ)",2023,1,22,Việt Nam,2023,3,3,Hoa Kỳ,2023,3,9,"Úc, Singapore",2023,3,10,Canada,Nhà bà Nữ,Áp phích chiếu rạp của phim,Trấn Thành,* Trấn Thành * Đỗ Hoàng Vũ,Nguyễn Ngọc Huyền Trân,* Trấn Thành * Tạ Anh Đức * Lương Nghiêm Huy,* Lê Giang * Uyển Ân * Song Luân * Trấn Thành * Khả Như * Quỳnh Lý * Phương Lan * Dương Lâm * Ngọc Giàu * Việt Anh,* Ngô Minh Hoàng * Nguyễn Hoàng Anh,Trần Minh Huy,* Vũ Khắc Tuận * Phạm Hoàng Nhân,* CJ HK Entertainment * KIM Entertainment * Trấn Thành Town,CJ CGV,"2023, 1, 22, Việt Nam, 2023, 3, 3, Hoa Kỳ, 2023, 3, 9, Úc, Singapore, 2023, 3, 10, Canada",103 phút,Tiếng Việt,"30–35 tỷ VND (1,2–1,4 triệu USD)","475 tỷ VND (19,6 triệu USD)Theo Box Office Việt Nam, ''Nhà bà Nữ'' thu về 458 tỷ đồng. Theo ê-kíp sản xuất thì bộ phim có doanh thu là 475 tỷ đồng. (Việt Nam), 24 tỷ VND (1 triệu USD) (Hoa Kỳ)",2023,1,22,Việt Nam,2023,3,3,Hoa Kỳ,2023,3,9,"Úc, Singapore",2023,3,10,Canada,"chính kịch, điện ảnh, hài",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hai Phượng,film,"Hai Phượng, Furie",Hai Phuong - Furie poster.jpg,Áp phích chiếu rạp của phim tại Việt Nam,Lê Văn Kiệt,"Bey Logan, Trần Bửu Lộc",,,"Ngô Thanh Vân, Mai Cát Vy, Phan Thanh Nhiên, Phạm Anh Khoa, Trần Thanh Hoa",Nguyễn Hoàng Anh,Morgan Schmidt,Quyền Ngô,,Lotte Entertainment Việt Nam,"2019, 2, 22, Việt Nam, 2019, 3, 1, Hoa Kỳ, 2019, 3, 8, Canada, 2019, 9, 20, Trung Quốc",98 phút,Tiếng Việt,,"10,05 triệu đô la Mỹ (toàn cầu), 237,029 tỷ đồng (Việt Nam)",2019,2,22,Việt Nam,2019,3,1,Hoa Kỳ,2019,3,8,Canada,2019,9,20,Trung Quốc,"Hai Phượng, Furie",Áp phích chiếu rạp của phim tại Việt Nam,Lê Văn Kiệt,"Bey Logan, Trần Bửu Lộc",,,"Ngô Thanh Vân, Mai Cát Vy, Phan Thanh Nhiên, Phạm Anh Khoa, Trần Thanh Hoa",Nguyễn Hoàng Anh,Morgan Schmidt,Quyền Ngô,,Lotte Entertainment Việt Nam,"2019, 2, 22, Việt Nam, 2019, 3, 1, Hoa Kỳ, 2019, 3, 8, Canada, 2019, 9, 20, Trung Quốc",98 phút,Tiếng Việt,1 triệu USD,"10,05 triệu đô la Mỹ (toàn cầu), 237,029 tỷ đồng (Việt Nam)",2019,2,22,Việt Nam,2019,3,1,Hoa Kỳ,2019,3,8,Canada,2019,9,20,Trung Quốc,"chính kịch, điện ảnh, hành động",Lê Văn Kiệt,Nhóm biên kịch A Type Machine,"Studio 68, NHV Entertainment",Việt Nam,1 triệu USD,http://www.wellgousa.com/films/furie,9412268,Lê Văn Kiệt,Nhóm biên kịch A Type Machine,"Studio 68, NHV Entertainment",Việt Nam,http://www.wellgousa.com/films/furie,9412268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tèo em,film,Tèo em,Teoemposter.jpg,,,,,,,,,,,,,,,10 tỷ VND,,,,,,,,,,,,,,,,,,,,Charlie Nguyễn,,,,,,,,,,,,Tiếng Việt,10 tỷ VND,,,,,,,,,,,,,,,,,,"hài, tâm lý",,,Hãng phim Chánh Phương,,,,,,,Hãng phim Chánh Phương,25px Việt Nam,,,Áp phích chính thức của phim.,Charlie Nguyễn,"Jimmy Phạm Nghiêm, Jenni Trang Lê","Charlie Nguyễn, Dương Từ Ân","Johnny Trí Nguyễn, Thái Hòa, Ninh Dương Lan Ngọc, Yaya Trương Nhi, Ngọc Tưởng, Hữu Châu, Thân Thúy Hà",Christopher Wong,"Tal Lazar, James Ngô",Charlie Nguyễn,Hãng phim Chánh Phương,20 tháng 12 năm 2013,99 phút,25px Việt Nam,Tiếng Việt,80 tỷ VND,Tèo em,Teoemposter.jpg,Áp phích chính thức của phim.,"Jimmy Phạm Nghiêm, Jenni Trang Lê","Charlie Nguyễn, Dương Từ Ân","Johnny Trí Nguyễn, Thái Hòa, Ninh Dương Lan Ngọc, Yaya Trương Nhi, Ngọc Tưởng, Hữu Châu, Thân Thúy Hà",Christopher Wong,"Tal Lazar, James Ngô",Charlie Nguyễn,Hãng phim Chánh Phương,20 tháng 12 năm 2013,99 phút,80 tỷ VND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mùi ngò gai,film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kim Hyo-joong, Han Chul-soo, Chu Thiện, Trần Hữu Phúc",,,,,,,,,,,,tiếng Việt,40 tỉ VND,,,,,,,,,,,,,,,,,,"gia đình, truyền hình",,,,,,,,,,,Việt Nam,,,,,,,,,,,,,,,,,Mùi ngò gai,MuiNgoGai.gif,Bìa đĩa phim phần 2,Kim Se-huyk,"Kwon In-chan, Kim Mi-kyung, Cầm Phong","Angela Phương Trinh, Ngọc Trinh, Hồng Ánh, Minh Hoàng, Việt Anh, Kim Xuân, Thành Lộc, Hòa Hiệp, Kim Hiền","Jang So-young, Tuấn Khanh",,,,,45 phút/tập (không bao gồm quảng cáo),,Phim truyền hình,"Hãng phim Gia đình Việt, CJ E&M",HTV9,"3 tháng 12 năm 2006 – 18 tháng 5 năm 2007 (phần 1, 2), 28 tháng 4 năm 2008 (phần 3)","53 (phần 1), 19 (phần 2), 34 (phần 3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cổng mặt trời (phim truyền hình),film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cổng mặt trời,,Nguyễn Dương,,,,"Lương Thế Thành, Hòa Hiệp, Bá Thắng, Hùng Thuận, Trấn Thành, Đình Hiếu, Ngọc Lan, Nguyệt Ánh, Kha Ly, Tú Vi, Hiền Trang, Lê Bê La",,,,,,,45 - 50 phút/tập (không bao gồm quảng cáo),tiếng Việt,,,,,,,,,,,,,,,,,,,truyền hình,,,,,,,,,"Hoàng Anh, Cát Minh, Nhật Đăng San",,Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phim truyền hình,"Đài Truyền hình Thành phố Hồ Chí Minh, Công ty cổ phần truyền thông đa phương tiện Lasta",,,67,230px,HTV7,22 tháng 1 năm 2010,27 tháng 3 năm 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuyện tình mùa thu,film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trương Dũng,,,,,,,,,,,,tiếng Việt,,,,,,,,,,,,,,,,,,,truyền hình,,,,,,,,,,,Việt Nam,,,,,,,,,,,,,,,,,,,,,Hoàng Thu Dung,"Khương Ngọc, Thanh Trúc, NSND Kim Xuân, Trọng Nhân, NSƯT Công Ninh, Huỳnh Anh Tuấn",,,,,,45 phút/tập (không bao gồm quảng cáo),,,,,27 tháng 5 năm 2010,,,,,,Chuyện tình mùa thu,Phim truyền hình,"""Mùa thu hoa tím"" của Hoàng Thu Dung",33,Công ty Sóng Vàng,HTV7,Việt Nam,24 tháng 6 năm 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Một thời ta đuổi bóng,film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trương Dũng,,,,,,,,,,,,tiếng Việt,,,,,,,,,,,,,,,,,,,truyền hình,,,,,,,,,,,Việt Nam,,,,,,,,,,,,,,,,,,,,,Hoàng Thu Dung,"Vân Trang, Khương Thịnh, Tú Vi",,,,,,45 phút/tập (không bao gồm quảng cáo),,,,,7 tháng 5 năm 2011,,,,,,Một thời ta đuổi bóng,Phim truyền hình,,32,Công ty Sóng Vàng,HTV7,,28 tháng 5 năm 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công chúa teen và ngũ hổ tướng,film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lê Lộc,,,,,,,,,,,,Tiếng Việt,,,,,,,,,,,,,,,,,,,"hài, tâm lý",,,,,,,,,,Hãng phim Phước Sang,Việt Nam,,,,,,,,,,,,,,,,,Công chúa teen và ngũ hổ tướng,ccteen.jpg,Áp phích của phim.,Lưu Phước Sang,Thạch Tuyền,"Bảo Thy, Yến Trang, NSƯT Hoài Linh, Chí Tài, Tấn Beo, Hiếu Hiền, NSƯT Mạnh Tràng, Khổng Tú Quỳnh, Hoàng Sơn, Kim Thư","Bảo Thy, Tân Rock","Lê Trung Toàn, Dương Văn Lễ, Nguyễn Thành Út",Trịnh Quốc Hùng,Hãng phim Phước Sang,4 tháng 2 năm 2010,"'''Phiên bản điện ảnh''': 98 phút, '''Phiên bản truyền hình''': 45 phút / tập (4 tập)",Hơn 25 tỷ VND,,,,,,,,,,,,,,,,,,260px,Bảo Thy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gia sư nữ quái,film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lê Bảo Trung,,,,,,,,,,,,Tiếng Việt,,,2012,6,1,,,,,,,,,,,,,,"chính kịch, điện ảnh",,,,,,,,,,"LBT Entertainment, Tincom Media",Việt Nam,,,,,,,,,,,,,,,,,Gia sư nữ quái,Gia su nu quai.jpg,Áp phích của bộ phim.,"Mai Thu Huyền, Lâm Cẩm Vinh, Lê Bảo Trung",,"Isaac, Bảo Thy, Trấn Thành, Dương Cẩm Lynh, Chí Tài, Hoài Linh, Hoàng Sơn",Nguyễn Hồng Thuận,Joel David Spezeski,Phương Thảo,Galaxy Studio,"2012, 6, 1",89 phút,,,,,,,,,,,,,,,,,,,,,"Lê Bảo Trung, Bùi Đăng Quốc Thiều",Lê Bảo Trung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cua lại vợ bầu,film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cua lại vợ bầu,Áp phích của phim.,Nhất Trung,Quyền ĐH,,,* Trấn Thành * Ninh Dương Lan Ngọc * Anh Tú Atus * NSƯT Hữu Châu * Đặng Trà Xuân Minh * Hoàng Thanh Mai * Thuận Hoàng * Mạc Văn Khoa * Khả Như,Trấn Thành,Lê Đình Tiến,Nguyễn Định,"ABC Pictures, NT Studio, NHV Entertainment",Galaxy Distribution,"2019, 02, 05, Việt Nam",100 phút,Tiếng Việt,,"191,8 tỷ VND",2019,02,05,Việt Nam,,,,,,,,,,,,,"hài, tình cảm",,,,,,,,Nhất Trung,,,Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Trấn Thành, Ninh Dương Lan Ngọc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bố già (phim 2021),film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bố già,,* Trấn Thành * Vũ Ngọc Đãng,Nguyễn Phương Thảo,,Trấn Thành,* Trấn Thành * Tuấn Trần * Ngân Chi * Ngọc Giàu * Lê Giang * Hoàng Mèo * Lan Phương * La Thành * Quốc Khánh,* Phan Mạnh Quỳnh * Ngô Minh Hoàng,Diệp Thế Vinh,* Trấn Thành * Vũ Khắc Tuận * Lê Minh Đức,* Trấn Thành Town * Galaxy Studio * HKFilm,Galaxy Studio,"2021, 3, 12, Việt Nam, 2021, 4, 22, Malaysia & Singapore, 2021, 5, 22, Úc, 2021, 5, 28, Hoa Kỳ",128 phút,Tiếng Việt,23 tỷ VND (954 nghìn USD),"420 tỷ VND (17.4 triệu USD) (Việt Nam), 26 tỷ VND (1.08 triệu USD) (Hoa Kỳ)",2021,3,12,Việt Nam,2021,4,22,Malaysia & Singapore,2021,5,22,Úc,2021,5,28,Hoa Kỳ,"chính kịch, điện ảnh, gia đình, hài",,,,,,,,,* Trấn Thành * Bùi An Nhi * Lương Nghiêm Huy * Hồ Thúc An,,Việt Nam,,,,,,,,,,,,,,,,,,,Áp phích chiếu rạp của phim tại Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đất rừng phương Nam (phim),film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đất rừng phương Nam,Áp phích chiếu rạp của phim,Nguyễn Quang Dũng,* Nguyễn Trí Viễn * Nguyễn Quang Dũng,Trần Khánh Hoàng,,* Huỳnh Hạo Khang * Bùi Lý Bảo Ngọc * Đỗ Kỳ Phong * Tuấn Trần * Tiến Luật * Băng Di * Trấn Thành * Hứa Vĩ Văn * Tuyền Mập * Mai Tài Phến * Huỳnh Đông * Bích Ngọc * Công Ninh * Hồng Ánh,Đức Trí,Diệp Thế Vinh,* Quyền Ngô * Trấn Thành,* HKFilm * Galaxy Play * Trấn Thành Town * KIM Entertainment * Hana Entertainment,Galaxy Studio,"2023, 10, 16",110 phút,* Tiếng Việt * Tiếng Pháp,40 tỷ VND,"140,4 tỷ VND",,,,,,,,,,,,,,,,,"chính kịch, điện ảnh, truyền hình",,,,,,,,,,,Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"* ''Đất rừng phương Nam'', Đoàn Giỏi * ''Đất phương Nam'', Nguyễn Vinh Sơn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mai (phim),film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MɅI,Áp phích chiếu rạp của phim,Trấn Thành,* Trấn Thành * Nguyễn Phương Thảo * Nguyễn Hữu Tường Vi,"Nguyễn Thanh BìnhBút danh của Nguyễn Thanh Bình là Bình Bồng Bột, hay Trần Minh.",* Trấn Thành * Lương Nghiêm Huy * Tạ Anh Đức * Diệp Thế Vinh,* Phương Anh Đào * Tuấn Trần * Trấn Thành * Ngọc Giàu * Khả Như * Uyển Ân * Anh Đức * Việt Anh * Hồng Đào,"Nguyễn Hoàng Anhname=""score"", Nguyễn Hoàng Anh là người soạn tất cả bản nhạc nền cho bộ phim, với phần nhạc bổ sung do Khuất Duy Minh và Ngô Minh Hoàng đồng phụ trách.",Diệp Thế Vinh,"Phạm Hoàng Nhânname=""editing"", Phạm Hoàng Nhân là người đảm nhận vị trí dựng phim chính, với sự hỗ trợ của Vũ Khắc Tuận và Trấn Thành.",* Trấn Thành Town * CJ HK Entertainment * HKFilm,CJ CGV,"2024, 2, 10, Việt Nam, 2024, 2, 14, Úc, 2024, 3, 22, Hoa Kỳ, Canada, Châu Âu, 2024, 4, 12, Đài Loan",131 phút,Tiếng Việt,50 tỷ VND,"520 tỷ VNDname=""Special-notes"", Theo Box Office Việt Nam, MɅI thu về 550 tỷ đồng. Theo ê-kíp sản xuất thì bộ phim có doanh thu là 520 tỷ đồng.",,,,,,,,,,,,,,,,,"chính kịch, điện ảnh, hài, lãng mạn",,,,,,,,,,,Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bộ tứ báo thủ,film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bộ tứ báo thủ,Áp phích chiếu rạp của phim,Trấn Thành,* Trấn Thành * Nguyễn Phương Thảo,* Trấn Thành * Phan Minh Mẫn,* Trấn Thành * Lương Nghiêm Huy * Nguyễn Phương Thảo,* Trần Tiểu Vy * Trần Quốc Anh * Nguyễn Cao Kỳ Duyên * Lê Dương Bảo Lâm * Lê Giang * Uyển Ân * Trấn Thành,Nguyễn Hoàng Anh,Nguyễn Phan Linh Đan,Phạm Hoàng Nhân,* Galaxy Studio * HKFilm * Trấn Thành Town,Galaxy Studio,"2025, 1, 29, Việt Nam, 2025, 3, 14, Châu Âu, 2025, 03, 27, Úc, 2025, 03, 28, New Zealand, 2025, 04, 18, Pháp, Romania 2025, 5, 2, Nhật Bản, 2025, 5, 11, Bulgaria, 2025, 5, 21, Hàn Quốc, 2025, 05, 29, Thái Lan",132 phút,Tiếng Việt,,"332,1 tỷ VND",2025,5,2,Nhật Bản,2025,5,11,Bulgaria,2025,5,21,Hàn Quốc,2025,05,29,Thái Lan,"âm nhạc, chính kịch, điện ảnh, hài, lãng mạn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,04,18,"Pháp, Romania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gia đình phép thuật,film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chu Thiện ((phần 1)), Sun Oh ((phần 2))",,,,,,,,,,,,Tiếng Việt,,,,,,,,,,,,,,,,,,,"gia đình, truyền hình",,,,,,,,,,,Việt Nam,https://www.youtube.com/playlist?list=PLFk1RtAQGTYXKS5Lg_zLFzd6XfQdNWke2,,,,,,,,,,,,,,,,,Áp phích phim Gia đình phép thuật.gif,"Các nhân vật trái–phải, trên–dưới: YeYe, SuRi, BaRam, PungUn, ChiNi, Châu Tuấn, Hoàng Lan, Tấn Trung, Ngọc Yến, bà Sương và Mai Phương.","Công ty VIFA , Công ty Chu Thị , Đài Truyền hình Thành phố Hồ Chí Minh",Kwon In-chan,"NSND Việt Anh , Hòa Hiệp , Đình Toàn , Lý Thanh Thảo , Hương Giang, Nhật Hạ , Gia Kỳ , NSND Kim Xuân , Đại Nghĩa , Vân Trang , Anh Thư, Kim Hiền , Xuân Nghi , Văn Ruy , Tường Vy , Băng Di , Đặng Trà Xuân Minh",,"Oh Seung-yuep ((phần 1)) , Nguyễn Chánh Minh Luân ((phần 1))",,,,~ 25 phút / tập,,,,,"2009, 02, 22",,,,,,Gia đình phép thuật,Phim truyền hình dài tập,,340 ((tính đến tháng 7 năm 2011)),,HTV7,Việt Nam,"2011, 07, 31",,,,,,,,,,,Vườn ảo thuật,CJ Media ((Hàn Quốc)),"Công ty VIFA , Công ty Chu Thị","Phần 1: Tập 1 - 250, Phần 2: Tập 251 - 340","Võ Thanh Phong ((phần 1-2)) , Phan Thị Thuyết ((phần 1)) , Trương Quốc Khánh ((phần 2))","Huỳnh Thanh Diệu ((phần 1)) , Phạm Ngọc Vân ((phần 2))",Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mệnh lệnh Hoa hồng,film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Võ Thanh Hòa,,,,,,,,,,,,tiếng Việt,,,,,,,,,,,,,,,,,,,truyền hình,,,,,,,,,,,Việt Nam,,,,,,,,,,,,,,,,,,TuquaiRose.jpg,,,Thanh Hương,"Lư Hoàng Gia Bảo, Ninh Dương Lan Ngọc, Đinh Ứng Phi Trường, Ngọc Phước, Nguyệt Ánh, Lương Thế Thành, Ngân Quỳnh",,,,,,25 phút/tập (không bao gồm quảng cáo),,,,,6 tháng 10 năm 2010,,,,,,Mệnh lệnh hoa hồng,Phim truyền hình,,60,"Đài Truyền hình Thành phố Hồ Chí Minh, Hãng phim Gia Đình Việt",HTV7,,25 tháng 2 năm 2011,,,,,,,,,,,,,,,,,,Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
